Data,Dia,Confirmados,Mortes,Curados
2020-02-25,1,1,,
2020-02-26,2,1,,
2020-02-27,3,1,,
2020-02-28,4,1,,
2020-02-29,5,2,,
2020-03-01,6,2,,
2020-03-02,7,2,,
2020-03-03,8,2,,
2020-03-04,9,4,,
2020-03-05,10,7,,
2020-03-06,11,13,,
2020-03-07,12,19,,
2020-03-08,13,25,,
2020-03-09,14,25,,
2020-03-10,15,34,,
2020-03-11,16,52,,
2020-03-12,17,77,,
2020-03-13,18,98,,
2020-03-14,19,121,,
2020-03-15,20,200,,
2020-03-16,21,234,,
2020-03-17,22,291,1,
2020-03-18,23,428,4,
2020-03-19,24,621,7,
2020-03-20,25,904,11,
2020-03-21,26,1128,21,
2020-03-22,27,1546,25,
2020-03-23,28,1891,34,
2020-03-24,29,2201,46,
2020-03-25,30,2433,57,
2020-03-26,31,2915,77,
